7,Micheal,Hugo,2/17/03,Boy,Guitar,,,Accept,7/2/17,YES,YES,YES,7,,,Guitarist
8,Elsa,Princess,3/22/04,Girl,Piano,,,Accept,7/8/17,YES,YES,YES,8,,,Instrumentalist
9,Laird,Probert,8/30/99,Girl,Guitar,,,Deny,5/5/17,YES,YES,YES,7,Quisque id justo sit amet sapien dignissim vestibulum.,Aliquam quis turpis eget elit sodales scelerisque.,Singer
10,Paulie,Peile,9/20/02,Girl,Instrument,,,Accept,5/10/17,YES,YES,YES,10,Sed vel enim sit amet nunc viverra dapibus.,Phasellus sit amet erat.,Keyboardist
11,Colas,Hallad,2/23/00,Boy,Singer,,,Deny,6/24/17,YES,YES,YES,8,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",Nulla ut erat id mauris vulputate elementum.,Instrumentalist
12,Jacquenette,Roylance,7/12/03,Boy,Drum,,,Deny,6/21/17,YES,YES,YES,7,Fusce consequat.,In hac habitasse platea dictumst.,Instrumentalist
13,Willi,Glassborow,10/6/04,Boy,Instrument,,,Deny,5/13/17,YES,YES,YES,3,Integer ac leo.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Bassist
14,Perla,Hainge,8/24/99,Girl,Singer,,,Deny,5/5/17,YES,YES,YES,10,Donec posuere metus vitae ipsum.,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",Keyboardist
15,Rainer,Balharry,9/15/03,Boy,Instrument,,,Deny,5/16/17,YES,YES,YES,4,Sed sagittis.,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Singer
16,Gael,O'Brogane,1/28/99,Girl,Guitar,,,Deny,6/10/17,YES,YES,YES,5,Nulla ac enim.,Fusce posuere felis sed lacus.,Drummer
17,Christy,Vowells,11/4/03,Boy,Bass,,,Deny,5/26/17,YES,YES,YES,8,Morbi quis tortor id nulla ultrices aliquet.,Vivamus tortor.,Drummer
18,Julita,Benedetti,8/2/02,Girl,Drum,,,Deny,7/19/17,YES,YES,YES,5,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",Nam nulla.,Bassist
19,Gale,Henrys,7/21/99,Boy,Instrument,,,Deny,5/22/17,YES,YES,YES,3,Donec vitae nisi.,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",Drummer
20,Nicola,Hischke,12/10/04,Girl,Singer,,,Deny,6/9/17,YES,YES,YES,5,Suspendisse potenti.,Etiam pretium iaculis justo.,Keyboardist
21,Elyn,Jago,7/27/02,Girl,Keyboard,,,Deny,7/12/17,YES,YES,YES,5,Nunc rhoncus dui vel sem.,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",Keyboardist
22,Astrid,Gorling,9/10/00,Boy,Bass,,,Accept,7/22/17,YES,YES,YES,5,Phasellus id sapien in sapien iaculis congue.,Donec semper sapien a libero.,Drummer
23,Reina,Spon,11/24/03,Girl,Bass,,,Deny,7/30/17,YES,YES,YES,7,Donec quis orci eget orci vehicula condimentum.,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Guitarist
24,Caresse,Edie,12/9/99,Boy,Instrument,,,Deny,7/3/17,YES,YES,YES,4,In hac habitasse platea dictumst.,Ut at dolor quis odio consequat varius.,Instrumentalist
25,Glad,Jeste,11/3/01,Girl,Keyboard,,,Deny,5/7/17,YES,YES,YES,4,Sed sagittis.,Nunc purus.,Drummer
26,Gery,Kirley,4/12/03,Girl,Keyboard,,,Accept,6/5/17,YES,YES,YES,9,Vestibulum rutrum rutrum neque.,Morbi a ipsum.,Keyboardist
27,Collie,Westphal,1/28/04,Boy,Singer,,,Accept,6/1/17,YES,YES,YES,3,Praesent blandit lacinia erat.,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,Instrumentalist
28,Dannie,Creech,4/6/99,Boy,Singer,,,Accept,5/5/17,YES,YES,YES,4,Aliquam quis turpis eget elit sodales scelerisque.,Mauris sit amet eros.,Keyboardist
29,Aprilette,Jirusek,10/5/04,Boy,Drum,,,Accept,6/19/17,YES,YES,YES,8,Suspendisse potenti.,Morbi quis tortor id nulla ultrices aliquet.,Guitarist
30,Sammie,Galbraith,4/22/02,Girl,Keyboard,,,Deny,7/9/17,YES,YES,YES,9,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Maecenas pulvinar lobortis est.,Bassist
31,Leanor,Roder,10/24/04,Girl,Keyboard,,,Deny,6/27/17,YES,YES,YES,4,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",Donec vitae nisi.,Bassist
32,Blaire,Tilbrook,6/24/01,Boy,Guitar,,,Deny,7/14/17,YES,YES,YES,2,Aliquam erat volutpat.,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Bassist
33,My,Skade,1/30/04,Boy,Instrument,,,Deny,7/16/17,YES,YES,YES,9,Cras pellentesque volutpat dui.,In hac habitasse platea dictumst.,Drummer
34,Johnathon,Giorgio,6/21/99,Girl,Keyboard,,,Accept,5/28/17,YES,YES,YES,2,Duis bibendum.,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",Singer
35,Brandon,Cribbott,1/31/02,Girl,Bass,,,Deny,6/6/17,YES,YES,YES,2,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Nulla mollis molestie lorem.,Singer
36,Karisa,Bennedsen,7/11/00,Girl,Drum,,,Accept,7/16/17,YES,YES,YES,6,Vivamus in felis eu sapien cursus vestibulum.,Pellentesque eget nunc.,Drummer
37,Flory,Rude,10/30/00,Girl,Drum,,,Accept,5/15/17,YES,YES,YES,7,Morbi non lectus.,Praesent lectus.,Singer
38,Lesly,Siemandl,6/30/99,Boy,Instrument,,,Deny,7/26/17,YES,YES,YES,10,In hac habitasse platea dictumst.,Etiam justo.,Singer
39,Letty,Fidler,10/2/01,Boy,Instrument,,,Deny,6/29/17,YES,YES,YES,6,Aliquam quis turpis eget elit sodales scelerisque.,Nulla ac enim.,Singer
40,Lanie,Gook,9/24/00,Girl,Drum,,,Accept,5/20/17,YES,YES,YES,7,Nam nulla.,Maecenas ut massa quis augue luctus tincidunt.,Singer
41,Ezmeralda,Jost,5/2/00,Boy,Singer,,,Accept,7/22/17,YES,YES,YES,5,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Nulla ac enim.,Singer
42,Kellie,Rasor,7/27/03,Girl,Instrument,,,Deny,7/3/17,YES,YES,YES,3,Nunc purus.,Morbi a ipsum.,Instrumentalist
43,Winifred,Likly,12/30/02,Girl,Keyboard,,,Deny,5/13/17,YES,YES,YES,4,Praesent blandit lacinia erat.,Sed vel enim sit amet nunc viverra dapibus.,Keyboardist
44,Cass,Kosel,3/24/99,Girl,Singer,,,Accept,6/5/17,YES,YES,YES,7,Pellentesque eget nunc.,Donec semper sapien a libero.,Guitarist
