9,Laird,Probert,8/30/1999,Girl,Guitar,,,Deny,5/5/2017,YES,YES,YES,7,Quisque id justo sit amet sapien dignissim vestibulum.,Aliquam quis turpis eget elit sodales scelerisque.,Singer
10,Paulie,Peile,9/20/2002,Girl,Instrument,,,Accept,5/10/2017,YES,YES,YES,10,Sed vel enim sit amet nunc viverra dapibus.,Phasellus sit amet erat.,Keyboardist
11,Colas,Hallad,2/23/2000,Boy,Singer,,,Deny,6/24/2017,YES,YES,YES,8,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",Nulla ut erat id mauris vulputate elementum.,Instrumentalist
12,Jacquenette,Roylance,7/12/2003,Boy,Drum,,,Deny,6/21/2017,YES,YES,YES,7,Fusce consequat.,In hac habitasse platea dictumst.,Instrumentalist
13,Willi,Glassborow,10/6/2004,Boy,Instrument,,,Accept,5/13/2017,YES,YES,YES,3,Integer ac leo.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Bassist
14,Perla,Hainge,8/24/1999,Girl,Singer,,,Deny,5/5/2017,YES,YES,YES,10,Donec posuere metus vitae ipsum.,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",Keyboardist
15,Rainer,Balharry,9/15/2003,Boy,Instrument,,,Deny,5/16/2017,YES,YES,YES,4,Sed sagittis.,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Singer
16,Gael,O'Brogane,1/28/1999,Girl,Guitar,,,Deny,6/10/2017,YES,YES,YES,5,Nulla ac enim.,Fusce posuere felis sed lacus.,Drummer
17,Christy,Vowells,11/4/2003,Boy,Bass,,,Deny,5/26/2017,YES,YES,YES,8,Morbi quis tortor id nulla ultrices aliquet.,Vivamus tortor.,Drummer
18,Julita,Benedetti,8/2/2002,Girl,Drum,,,Accept,7/19/2017,YES,YES,YES,5,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",Nam nulla.,Bassist
19,Gale,Henrys,7/21/1999,Boy,Instrument,,,Accept,5/22/2017,YES,YES,YES,3,Donec vitae nisi.,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",Drummer
20,Nicola,Hischke,12/10/2004,Girl,Singer,,,Accept,6/9/2017,YES,YES,YES,5,Suspendisse potenti.,Etiam pretium iaculis justo.,Keyboardist
21,Elyn,Jago,7/27/2002,Girl,Keyboard,,,Deny,7/12/2017,YES,YES,YES,5,Nunc rhoncus dui vel sem.,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",Keyboardist
22,Astrid,Gorling,9/10/2000,Boy,Bass,,,Accept,7/22/2017,YES,YES,YES,5,Phasellus id sapien in sapien iaculis congue.,Donec semper sapien a libero.,Drummer
23,Reina,Spon,11/24/2003,Girl,Bass,,,Deny,7/30/2017,YES,YES,YES,7,Donec quis orci eget orci vehicula condimentum.,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Guitarist
24,Caresse,Edie,12/9/1999,Boy,Instrument,,,Deny,7/3/2017,YES,YES,YES,4,In hac habitasse platea dictumst.,Ut at dolor quis odio consequat varius.,Instrumentalist
25,Glad,Jeste,11/3/2001,Girl,Keyboard,,,Deny,5/7/2017,YES,YES,YES,4,Sed sagittis.,Nunc purus.,Drummer
26,Gery,Kirley,4/12/2003,Girl,Keyboard,,,Accept,6/5/2017,YES,YES,YES,9,Vestibulum rutrum rutrum neque.,Morbi a ipsum.,Keyboardist
27,Collie,Westphal,1/28/2004,Boy,Singer,,,Accept,6/1/2017,YES,YES,YES,3,Praesent blandit lacinia erat.,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,Instrumentalist
28,Dannie,Creech,4/6/1999,Boy,Singer,,,Accept,5/5/2017,YES,YES,YES,4,Aliquam quis turpis eget elit sodales scelerisque.,Mauris sit amet eros.,Keyboardist
29,Aprilette,Jirusek,10/5/2004,Boy,Drum,,,Accept,6/19/2017,YES,YES,YES,8,Suspendisse potenti.,Morbi quis tortor id nulla ultrices aliquet.,Guitarist
30,Sammie,Galbraith,4/22/2002,Girl,Keyboard,,,Deny,7/9/2017,YES,YES,YES,9,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Maecenas pulvinar lobortis est.,Bassist
31,Leanor,Roder,10/24/2004,Girl,Keyboard,,,Deny,6/27/2017,YES,YES,YES,4,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",Donec vitae nisi.,Bassist
32,Blaire,Tilbrook,6/24/2001,Boy,Guitar,,,Deny,7/14/2017,YES,YES,YES,2,Aliquam erat volutpat.,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Bassist
33,My,Skade,1/30/2004,Boy,Instrument,,,Deny,7/16/2017,YES,YES,YES,9,Cras pellentesque volutpat dui.,In hac habitasse platea dictumst.,Drummer
34,Johnathon,Giorgio,6/21/1999,Girl,Keyboard,,,Accept,5/28/2017,YES,YES,YES,2,Duis bibendum.,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",Singer
35,Brandon,Cribbott,1/31/2002,Girl,Bass,,,Deny,6/6/2017,YES,YES,YES,2,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Nulla mollis molestie lorem.,Singer
36,Karisa,Bennedsen,7/11/2000,Girl,Drum,,,Deny,7/16/2017,YES,YES,YES,6,Vivamus in felis eu sapien cursus vestibulum.,Pellentesque eget nunc.,Drummer
37,Flory,Rude,10/30/2000,Girl,Drum,,,Accept,5/15/2017,YES,YES,YES,7,Morbi non lectus.,Praesent lectus.,Singer
